id,match_id,team_id,team_name,player_id,player_name,jersey_number,attribute,sub_attribute,action,description,special_action,body_part,start_x,start_y,end_x,end_y,timestamp,period
1,7658,6370,Al Qadisiyah U15 ,101284,I Ibrahim Mohamed,7,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,54.93,56.85,74.63,43.15,0:00:09,First Half
2,7658,6370,Al Qadisiyah U15 ,101277,Mohammed Saud S Almuqri,21,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,74.63,43.15,74.63,43.15,0:00:09,First Half
3,7658,6370,Al Qadisiyah U15 ,101277,Mohammed Saud S Almuqri,21,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,74.63,43.15,74.63,56.85,0:00:12,First Half
4,7658,6370,Al Qadisiyah U15 ,101276,Abdulrahman Alattas,4,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,74.63,56.85,74.63,56.85,0:00:12,First Half
5,7658,6370,Al Qadisiyah U15 ,101276,Abdulrahman Alattas,4,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,74.63,56.85,74.63,43.15,0:00:14,First Half
6,7658,6370,Al Qadisiyah U15 ,101277,Mohammed Saud S Almuqri,21,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,74.63,43.15,74.63,43.15,0:00:14,First Half
7,7658,6370,Al Qadisiyah U15 ,101277,Mohammed Saud S Almuqri,21,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Left Foot,74.63,28.46,64.78,5.32,0:00:18,First Half
8,7658,6370,Al Qadisiyah U15 ,101278,K Saleh Alajji,13,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,64.78,5.32,64.78,5.32,0:00:18,First Half
9,7658,6370,Al Qadisiyah U15 ,101278,K Saleh Alajji,13,Passing,Long Pass,Simple Pass,Simple Long Pass,No Special Action,Right Foot,74.63,5.32,94.73,43.15,0:00:21,First Half
10,7658,6370,Al Qadisiyah U15 ,101274,A Alyousef,28,X_Passing,Long Pass Recieve,Received Simple Pass,Received Simple Long Pass,No Special Action,No Body Part,94.73,43.15,94.73,43.15,0:00:21,First Half
11,7658,6370,Al Qadisiyah U15 ,101274,A Alyousef,28,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,94.73,56.85,84.5,84.05,0:00:26,First Half
12,7658,6370,Al Qadisiyah U15 ,101276,Abdulrahman Alattas,4,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,84.5,84.05,84.5,84.05,0:00:26,First Half
13,7658,6370,Al Qadisiyah U15 ,101276,Abdulrahman Alattas,4,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,74.63,84.05,94.73,56.85,0:00:30,First Half
14,7658,6370,Al Qadisiyah U15 ,101274,A Alyousef,28,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,94.73,56.85,94.73,56.85,0:00:30,First Half
15,7658,6370,Al Qadisiyah U15 ,101274,A Alyousef,28,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,94.73,56.85,84.5,28.46,0:00:35,First Half
16,7658,6370,Al Qadisiyah U15 ,101277,Mohammed Saud S Almuqri,21,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,84.5,28.46,84.5,28.46,0:00:35,First Half
17,7658,6370,Al Qadisiyah U15 ,101277,Mohammed Saud S Almuqri,21,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,74.63,28.46,54.93,15.95,0:00:39,First Half
18,7658,6370,Al Qadisiyah U15 ,101283,F Alsadah,8,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,54.93,15.95,54.93,15.95,0:00:39,First Half
19,7658,6370,Al Qadisiyah U15 ,101283,F Alsadah,8,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,54.93,15.95,64.78,15.95,0:00:41,First Half
20,7658,6370,Al Qadisiyah U15 ,101277,Mohammed Saud S Almuqri,21,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,64.78,15.95,64.78,15.95,0:00:41,First Half
21,7658,6370,Al Qadisiyah U15 ,101277,Mohammed Saud S Almuqri,21,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Right Foot,74.63,28.46,64.78,28.46,0:00:42,First Half
22,7658,6370,Al Qadisiyah U15 ,101282,A Khaloofah,11,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,64.78,28.46,64.78,28.46,0:00:42,First Half
23,7658,6370,Al Qadisiyah U15 ,101282,A Khaloofah,11,Dribbling,Difficult Receives,Unsuccessful,Unsuccessful Receive,No Special Action,Right Foot,64.78,43.15,64.78,43.15,0:00:45,First Half
24,7658,6371, Al Ittihad U15,101260,T Mohammed Alyusr,12,Defending,Standing Tackle,Successful,Easy Standing Tackle,No Special Action,Right Foot,35.22,71.54,35.22,71.54,0:00:44,First Half
25,7658,6370,Al Qadisiyah U15 ,101282,A Khaloofah,11,X_Defending,Standing Tackle Encountered,Tackled Simple,Successfully Standing Tackled By Opponent,No Special Action,No Body Part,64.78,28.46,64.78,28.46,0:00:44,First Half
26,7658,6371, Al Ittihad U15,101314,H Alowaydhi,8,Pace,Pace,Ball Carry Short,Ball Carry Short,No Special Action,Right Foot,35.22,71.54,35.22,43.15,0:00:47,First Half
27,7658,6371, Al Ittihad U15,101314,H Alowaydhi,8,Passing,Short Pass,Simple Pass,Simple Short Pass,No Special Action,Left Foot,35.22,43.15,25.37,28.46,0:00:47,First Half
28,7658,6371, Al Ittihad U15,101267,Yahya Aljayzani,29,X_Passing,Short Pass Recieve,Received Simple Pass,Received Simple Short Pass,No Special Action,No Body Part,25.37,28.46,25.37,28.46,0:00:47,First Half
